,Low R,Mid R,High R
count,132.0,132.0,132.0
mean,34.91159444245952,50.11026189470636,63.0653214385174
std,28.718937510919673,36.026595156784396,37.89388665523918
min,0.0,0.0,0.0
25%,9.26570605213951,23.915830084799445,34.521786697532825
50%,28.808967774621998,45.831009186714134,63.671021770660616
75%,58.14851376903476,71.02112361825881,84.02380615040002
max,128.00390619039717,185.17289218457435,209.02152999152983
